Table 1
,,,,,,,,hour (hr),05,05,05,05,06,06,06,06,07,07,07,07,08,08,08,08,09,09,09,09,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,21,21,21,21,22,22,22,22,23,23,23,23,24,25,26,27,25,25,25,25,26,26,26,26,27,27,27,27,28,28,28,28
,,,,,,,,quarter hour (qhr),21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
Line Code,Line Name,Total,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
BAK,Bakerloo,"309,666","3,884","27,779","127,375","74,460","47,893","28,276",38,94,174,314,507,709,919,"1,128","1,307","1,417","1,538","1,671","1,850","2,008","2,251","2,536","2,871","3,135","3,457","3,738","3,995","4,153","4,350","4,541","4,765","4,890","5,066","5,227","5,429","5,499","5,663","5,786","5,895","5,823","5,821","5,726","5,637","5,520","5,501","5,498","5,564","5,594","5,664","5,767","5,880","5,954","6,121","6,298","6,420","6,455","6,502","6,474","6,372","6,189","6,034","5,761","5,468","5,113","4,790","4,463","4,205","3,900","3,659","3,468","3,302","3,166","3,139","3,222","3,341","3,397","3,390","3,377","3,145","2,813","2,540","2,180","1,667","1,181",766,362,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEN,Central,"728,789","18,078","71,278","288,690","168,484","101,447","80,812",503,824,"1,287","1,815","2,408","3,091","3,793","4,358","4,652","4,824","4,866","4,916","5,004","5,277","5,650","6,208","6,723","7,241","7,696","8,223","8,600","8,939","9,272","9,810","10,164","10,535","10,855","11,352","11,676","12,073","12,542","13,082","13,289","13,473","13,560","13,449","13,270","13,172","13,042","13,094","13,137","13,172","13,424","13,708","13,790","13,975","14,334","14,543","14,725","14,741","14,683","14,482","14,052","13,574","13,099","12,486","11,730","10,962","10,120","9,477","8,838","8,201","7,767","7,409","7,018","6,700","6,596","6,629","6,610","6,604","6,665","6,616","6,308","5,868","5,432","4,850","4,207","3,436","2,916","2,382","2,088","1,749","1,718","1,575","1,560","1,357","1,327","1,192","1,183","1,013",978,851,799,658,518,355
DIS,District,"602,618","13,038","63,886","256,136","143,232","79,654","46,672",218,419,814,"1,258","1,757","2,328","2,923","3,322","3,605","3,823","3,987","4,176","4,407","4,754","5,177","5,744","6,234","6,788","7,303","7,888","8,248","8,666","9,038","9,517","9,822","10,115","10,329","10,643","10,770","10,985","11,311","11,664","11,702","11,749","11,641","11,523","11,188","11,030","10,900","10,979","10,872","10,986","11,086","11,369","11,478","11,738","11,976","12,412","12,517","12,583","12,540","12,463","12,060","11,657","11,173","10,634","9,850","9,091","8,313","7,607","6,895","6,385","5,886","5,534","5,217","5,010","4,899","4,968","5,011","5,108","5,165","5,103","4,931","4,631","4,142","3,664","3,095","2,315","1,621","1,069",556,190,52,1,0,0,0,0,0,0,0,0,0,5,5,5
HAM,H&C and Circle,"304,387","8,268","30,836","132,908","69,424","37,920","25,030",321,543,781,947,"1,174","1,343","1,513","1,646","1,777","1,770","1,852","1,858","1,981","2,081","2,373","2,682","3,119","3,409","3,816","4,118","4,463","4,564","4,819","4,959","5,194","5,231","5,446","5,535","5,715","5,703","5,880","5,941","6,051","5,963","6,005","5,864","5,815","5,657","5,690","5,619","5,687","5,617","5,742","5,748","5,906","5,897","6,072","6,066","6,161","6,016","6,055","5,870","5,760","5,439","5,271","4,911","4,649","4,224","3,944","3,579","3,329","3,007","2,858","2,662","2,548","2,388","2,381","2,351","2,419","2,410","2,495","2,485","2,461","2,382","2,326","2,175","1,947","1,582","1,136",723,362,109,11,0,0,0,0,0,0,0,0,0,0,3,3,3
JUB,Jubilee,"699,598","20,096","70,557","274,485","158,155","95,528","80,776",575,940,"1,457","2,061","2,749","3,425","4,167","4,722","4,992","4,994","4,990","4,935","5,008","5,174","5,587","6,076","6,567","6,961","7,409","7,864","8,276","8,582","9,003","9,479","9,930","10,289","10,711","11,088","11,448","11,688","12,103","12,489","12,815","12,873","12,963","12,793","12,573","12,268","12,165","12,069","12,088","12,062","12,258","12,473","12,752","12,899","13,229","13,481","13,714","13,685","13,771","13,643","13,426","12,966","12,585","12,005","11,344","10,507","9,778","9,031","8,351","7,688","7,232","6,795","6,466","6,164","6,078","6,094","6,291","6,585","7,009","7,261","7,261","6,762","6,160","5,309","4,399","3,464","2,823","2,199","1,780","1,475","1,341","1,261","1,191","1,066","1,004",910,870,788,772,703,675,610,479,328
MET,Metropolitan,"176,951","5,069","21,054","71,674","40,152","24,003","14,998",76,157,282,493,695,925,"1,136","1,305","1,370","1,427","1,440","1,483","1,533","1,622","1,728","1,871","1,985","2,103","2,189","2,303","2,375","2,460","2,525","2,651","2,733","2,811","2,864","2,973","3,025","3,100","3,180","3,291","3,312","3,333","3,299","3,254","3,152","3,094","3,030","3,010","2,984","3,013","3,059","3,147","3,224","3,306","3,379","3,452","3,478","3,499","3,494","3,476","3,395","3,297","3,153","3,001","2,792","2,592","2,389","2,230","2,065","1,933","1,822","1,744","1,665","1,612","1,579","1,579","1,608","1,625","1,706","1,753","1,711","1,561","1,403","1,163",910,657,454,280,131,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,Northern,"880,242","15,977","76,993","339,580","198,599","132,060","117,033",395,685,"1,107","1,532","2,110","2,806","3,392","3,949","4,369","4,600","4,701","4,958","5,224","5,595","6,141","6,906","7,634","8,275","8,949","9,643","10,189","10,651","11,175","11,782","12,344","12,845","13,355","13,938","14,383","14,744","15,142","15,584","15,834","15,907","15,890","15,756","15,477","15,167","14,981","14,865","14,796","14,770","14,894","15,110","15,363","15,615","16,043","16,518","16,906","17,156","17,354","17,348","17,183","16,853","16,413","15,846","15,112","14,203","13,270","12,430","11,545","10,695","10,017","9,491","8,960","8,628","8,721","8,988","9,261","9,614","9,966","10,084","9,813","9,277","8,775","8,138","6,886","5,538","4,505","3,415","2,458","2,024","1,951","1,809","1,720","1,592","1,547","1,443","1,367","1,235","1,145",989,859,723,539,361
